country,city,activity,season,trend_score,avg_daily_precipitation,avg_daily_temperature,avg_daily_daylight,avg_daily_wind_speed,season_duration
Italy,Tuscany,museum,spring,0.3615,3.2141302,14.647338,48788.023,15.124898,92
Italy,Tuscany,beach,spring,0.7745000000000001,3.2141302,14.647338,48788.023,15.124898,92
Italy,Tuscany,hiking,summer,0.22631578947368422,1.1608696,25.985086,53641.29,14.939697,92
Italy,Tuscany,museum,summer,0.2805,1.1608696,25.985086,53641.29,14.939697,92
Italy,Tuscany,beach,summer,0.475,1.1608696,25.985086,53641.29,14.939697,92
Italy,Veneto,hiking,spring,0.44833333333333336,5.884783,13.7042465,49185.387,14.280296,92
Italy,Veneto,museum,spring,0.3615,5.884783,13.7042465,49185.387,14.280296,92
Italy,Veneto,beach,spring,0.7745000000000001,5.884783,13.7042465,49185.387,14.280296,92
Italy,Veneto,hiking,summer,0.22631578947368422,2.8380435,24.719755,54452.164,12.177799,92
Italy,Veneto,museum,summer,0.2805,2.8380435,24.719755,54452.164,12.177799,92
Italy,Veneto,beach,summer,0.475,2.8380435,24.719755,54452.164,12.177799,92
Italy,Lombardy,hiking,spring,0.44833333333333336,6.323913,13.366856,49172.01,13.704542,92
Italy,Lombardy,museum,spring,0.3615,6.323913,13.366856,49172.01,13.704542,92
Italy,Lombardy,beach,spring,0.7745000000000001,6.323913,13.366856,49172.01,13.704542,92
Italy,Lombardy,hiking,summer,0.22631578947368422,4.936957,23.936354,54424.832,12.587267,92
Italy,Lombardy,museum,summer,0.2805,4.936957,23.936354,54424.832,12.587267,92
Italy,Lombardy,beach,summer,0.475,4.936957,23.936354,54424.832,12.587267,92
United Kingdom,England,hiking,spring,0.87,3.0380437,10.157174,50727.773,24.909534,92
United Kingdom,England,museum,spring,0.7225,3.0380437,10.157174,50727.773,24.909534,92
United Kingdom,England,beach,spring,0.8275,3.0380437,10.157174,50727.773,24.909534,92
United Kingdom,England,hiking,summer,0.8425,1.7652175,16.022778,57634.156,22.169249,92
United Kingdom,England,museum,summer,0.7425,1.7652175,16.022778,57634.156,22.169249,92
United Kingdom,England,beach,summer,0.825,1.7652175,16.022778,57634.156,22.169249,92
United Kingdom,Scotland,hiking,spring,0.87,3.9206524,6.4048867,51998.223,21.276463,92
United Kingdom,Scotland,museum,spring,0.7225,3.9206524,6.4048867,51998.223,21.276463,92
United Kingdom,Scotland,beach,spring,0.8275,3.9206524,6.4048867,51998.223,21.276463,92
United Kingdom,Scotland,hiking,summer,0.8425,3.7945652,10.903642,60318.254,20.925459,92
United Kingdom,Scotland,museum,summer,0.7425,3.7945652,10.903642,60318.254,20.925459,92
United Kingdom,Scotland,beach,summer,0.825,3.7945652,10.903642,60318.254,20.925459,92
United Kingdom,Wales,hiking,spring,0.87,4.7293477,7.7205772,50653.836,23.098845,92
United Kingdom,Wales,museum,spring,0.7225,4.7293477,7.7205772,50653.836,23.098845,92
United Kingdom,Wales,beach,spring,0.8275,4.7293477,7.7205772,50653.836,23.098845,92
United Kingdom,Wales,hiking,summer,0.8425,2.8293476,12.855699,57480.027,21.297758,92
United Kingdom,Wales,museum,summer,0.7425,2.8293476,12.855699,57480.027,21.297758,92
United Kingdom,Wales,beach,summer,0.825,2.8293476,12.855699,57480.027,21.297758,92
United Kingdom,Northern Ireland,hiking,spring,0.87,3.5141306,8.563279,51300.76,21.54899,92
United Kingdom,Northern Ireland,museum,spring,0.7225,3.5141306,8.563279,51300.76,21.54899,92
United Kingdom,Northern Ireland,beach,spring,0.8275,3.5141306,8.563279,51300.76,21.54899,92
United Kingdom,Northern Ireland,hiking,summer,0.8425,3.6543484,12.947925,58835.727,20.990162,92
United Kingdom,Northern Ireland,museum,summer,0.7425,3.6543484,12.947925,58835.727,20.990162,92
United Kingdom,Northern Ireland,beach,summer,0.825,3.6543484,12.947925,58835.727,20.990162,92
Japan,Tokyo,hiking,spring,0.39884615384615385,5.760869,14.450925,47594.316,31.85344,92
Japan,Tokyo,museum,spring,0.17638297872340428,5.760869,14.450925,47594.316,31.85344,92
Japan,Tokyo,beach,spring,0.11361702127659574,5.760869,14.450925,47594.316,31.85344,92
Japan,Tokyo,hiking,summer,0.36541666666666667,6.0086956,26.6021,51218.496,26.03036,92
Japan,Tokyo,museum,summer,0.1827659574468085,6.0086956,26.6021,51218.496,26.03036,92
Japan,Tokyo,beach,summer,0.13872340425531915,6.0086956,26.6021,51218.496,26.03036,92
Japan,Kyōto,hiking,spring,0.39884615384615385,6.683696,14.092797,47509.72,16.698862,92
Japan,Kyōto,museum,spring,0.17638297872340428,6.683696,14.092797,47509.72,16.698862,92
Japan,Kyōto,beach,spring,0.11361702127659574,6.683696,14.092797,47509.72,16.698862,92
Japan,Kyōto,hiking,summer,0.36541666666666667,7.929348,26.667051,51047.28,16.013636,92
Japan,Kyōto,museum,summer,0.1827659574468085,7.929348,26.667051,51047.28,16.013636,92
Japan,Kyōto,beach,summer,0.13872340425531915,7.929348,26.667051,51047.28,16.013636,92
Japan,Ōsaka,hiking,spring,0.39884615384615385,6.317392,14.147891,47454.152,26.68428,92
Japan,Ōsaka,museum,spring,0.17638297872340428,6.317392,14.147891,47454.152,26.68428,92
Japan,Ōsaka,beach,spring,0.11361702127659574,6.317392,14.147891,47454.152,26.68428,92
Japan,Ōsaka,hiking,summer,0.36541666666666667,8.607608,27.094019,50934.836,26.335241,92
Japan,Ōsaka,museum,summer,0.1827659574468085,8.607608,27.094019,50934.836,26.335241,92
Japan,Ōsaka,beach,summer,0.13872340425531915,8.607608,27.094019,50934.836,26.335241,92
Japan,Hokkaidō,hiking,spring,0.39884615384615385,4.277174,1.8110988,48788.023,15.861053,92
Japan,Hokkaidō,museum,spring,0.17638297872340428,4.277174,1.8110988,48788.023,15.861053,92
Japan,Hokkaidō,beach,spring,0.11361702127659574,4.277174,1.8110988,48788.023,15.861053,92
Japan,Hokkaidō,hiking,summer,0.36541666666666667,6.5891304,18.007044,53641.29,12.559618,92
Japan,Hokkaidō,museum,summer,0.1827659574468085,6.5891304,18.007044,53641.29,12.559618,92
Japan,Hokkaidō,beach,summer,0.13872340425531915,6.5891304,18.007044,53641.29,12.559618,92
United States,California,hiking,spring,0.5560784313725491,2.8695655,-0.22536415,47738.777,9.284852,92
United States,California,museum,spring,0.20941176470588235,2.8695655,-0.22536415,47738.777,9.284852,92
United States,California,beach,spring,0.21764705882352942,2.8695655,-0.22536415,47738.777,9.284852,92
United States,California,hiking,summer,0.43960784313725493,0.6934782,14.807969,51510.94,12.700617,92
United States,California,museum,summer,0.23,0.6934782,14.807969,51510.94,12.700617,92
United States,California,beach,summer,0.24450980392156862,0.6934782,14.807969,51510.94,12.700617,92
United States,New York,hiking,spring,0.5560784313725491,4.668478,11.687918,48332.586,23.163603,92
United States,New York,museum,spring,0.20941176470588235,4.668478,11.687918,48332.586,23.163603,92
United States,New York,beach,spring,0.21764705882352942,4.668478,11.687918,48332.586,23.163603,92
United States,New York,hiking,summer,0.43960784313725493,4.669565,24.204157,52714.977,21.318752,92
United States,New York,museum,summer,0.23,4.669565,24.204157,52714.977,21.318752,92
United States,New York,beach,summer,0.24450980392156862,4.669565,24.204157,52714.977,21.318752,92
United States,Texas,hiking,spring,0.5560784313725491,3.6271741,20.773283,47031.195,24.203114,92
United States,Texas,museum,spring,0.20941176470588235,3.6271741,20.773283,47031.195,24.203114,92
United States,Texas,beach,spring,0.21764705882352942,3.6271741,20.773283,47031.195,24.203114,92
